feature_set,used_by_selected_model,column,availability,family,allowed_by_feature_set,description
toss_confirmed_xi,true,season_runs_against_diff,match_eve,team_form,true,Current-season runs-against average difference before match.
toss_confirmed_xi,true,season_matches_played_diff,match_eve,team_form,true,Current-season matches-played difference before match.
toss_confirmed_xi,true,current_streak_diff,match_eve,team_form,true,Signed current streak difference before match.
toss_confirmed_xi,true,days_since_last_match_diff,match_eve,rest,true,Rest-day difference before match.
toss_confirmed_xi,true,recent_win_rate_diff,match_eve,team_form,true,Last-five win-rate difference before match.
toss_confirmed_xi,true,historical_win_rate_diff,match_eve,team_strength,true,Historical win-rate difference before match.
toss_confirmed_xi,true,recent_nrr_diff,match_eve,team_form,true,Last-five run-rate proxy difference before match.
toss_confirmed_xi,true,recent_runs_for_diff,match_eve,team_form,true,Last-five runs-for difference before match.
toss_confirmed_xi,true,recent_runs_against_diff,match_eve,team_form,true,Last-five runs-against difference before match.
toss_confirmed_xi,true,powerplay_runs_diff,match_eve,phase,true,Recent powerplay scoring difference before match.
toss_confirmed_xi,true,powerplay_wickets_diff,match_eve,phase,true,Recent powerplay wickets-lost difference before match.
toss_confirmed_xi,true,venue_win_rate_diff,match_eve,venue,true,Team venue win-rate difference before match.
toss_confirmed_xi,true,head_to_head_diff,match_eve,head_to_head,true,Historical head-to-head win-rate difference before match.
toss_confirmed_xi,true,batting_power_diff,toss_confirmed,player_xi,true,Confirmed-XI batting form difference.
toss_confirmed_xi,true,bowling_danger_diff,toss_confirmed,player_xi,true,Confirmed-XI bowling form difference.
toss_confirmed_xi,true,xi_experience_diff,toss_confirmed,player_xi,true,Confirmed-XI experience difference.
toss_confirmed_xi,true,xi_batting_form_diff,toss_confirmed,player_xi,true,Confirmed-XI batting form difference.
toss_confirmed_xi,true,xi_bowling_form_diff,toss_confirmed,player_xi,true,Confirmed-XI bowling form difference.
toss_confirmed_xi,true,xi_batting_vs_opponent_diff,toss_confirmed,player_xi,true,Confirmed-XI batter-vs-opponent proxy.
toss_confirmed_xi,true,xi_bowling_vs_opponent_diff,toss_confirmed,player_xi,true,Confirmed-XI bowler-vs-opponent proxy.
toss_confirmed_xi,true,home_advantage_diff,match_eve,venue,true,Home-venue indicator difference.
toss_confirmed_xi,true,known_xi_ratio_diff,toss_confirmed,player_xi,true,Known-player ratio difference in confirmed XI.
toss_confirmed_xi,true,venue_avg_first_innings_score,preseason,venue,true,Static venue first-innings scoring prior.
toss_confirmed_xi,true,venue_chase_win_pct,preseason,venue,true,Static venue chase-win prior.
toss_confirmed_xi,true,venue_spin_bias,preseason,venue,true,Static venue spin-bowling prior.
toss_confirmed_xi,true,venue_pace_bias,preseason,venue,true,Static venue pace-bowling prior.
